Class,F1,Precision,Recall,Support,FNR,FPR,Accuracy,Loss,AUC,Time_Seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
GLOBAL,0.432031143558453,0.8677197426365184,0.34579508973908524,415538,9.046373100198697e-05,0.0032593420984745863,0.34579508973908524,19.228468948372967,0.9356530259288183,1.239189863204956,8399.38671875,267.875,700.3046875,0.0
Attack_BENIGN,0.37735119521459276,0.9996836634781954,0.232569712389303,285351,0.7674302876080076,0.00016130642844399743,,,,,,,,
Attack_Bot,0.007219168537586128,0.003629958347931021,0.6431034482758621,580,0.35689655110879903,0.24673099446149555,,,,,,,,
Attack_DDoS,0.8511369880009216,0.7475172005852869,0.9881069958847737,24300,0.011893004114736913,0.020729070284530825,,,,,,,,
Attack_DoS GoldenEye,0.13944442405783275,0.0763604211880074,0.8020261713803293,2369,0.19797382853610224,0.055623727820684456,,,,,,,,
Attack_DoS Hulk,0.8728068293938485,0.9233073153022328,0.8275441308061499,49172,0.17245586919034295,0.009225746930639782,,,,,,,,
Attack_DoS Slowhttptest,0.06861598440545809,0.04634017904160084,0.13213213213213212,666,0.867867866564763,0.004365201797170295,,,,,,,,
Attack_DoS slowloris,0.12990246939199004,0.07096969238908624,0.765905383360522,1226,0.23409461644853619,0.0296684624147269,,,,,,,,
Attack_FTP-Patator,0.07212682605352762,0.03741335105877884,0.9994926433282597,1971,0.0005073566714828225,0.12255571648578693,,,,,,,,
Attack_Heartbleed,0.375,0.23076923076923078,1.0,3,0.0,2.4065361521835547e-05,,,,,,,,
Attack_Infiltration,0.0014294648440989907,0.000715307582260372,0.8888888888888888,9,0.11111109876543349,0.026895836391619125,,,,,,,,
Attack_PortScan,0.15172413793103448,0.23531756577199042,0.11195397939187053,47457,0.8880460205894168,0.046905436574974244,,,,,,,,
Attack_SSH-Patator,0.17007636466484397,0.09296573048183458,0.9972360420121614,1809,0.002763957986310692,0.042542340517482354,,,,,,,,
Attack_Web Attack � Brute Force,0.004694835680751174,0.0024011525532255484,0.1048951048951049,429,0.8951048930184036,0.04503877294868326,,,,,,,,
Attack_Web Attack � Sql Injection,0.0008781558726673986,0.00043946385409800046,0.5,4,0.49999987500003124,0.010947359301498922,,,,,,,,
Attack_Web Attack � XSS,0.284805091487669,0.168075117370892,0.9322916666666666,192,0.06770833298068576,0.002133161267949774,,,,,,,,
MACRO AVG,0.23381412903578813,0.24239368998497673,0.6617430866274684,415538,0.33825690390553675,0.04423647993248056,,,,,,,,
WEIGHTED AVG,0.432031143558453,0.8677197426365184,0.34579508973908524,415538,0.33825690390553675,0.04423647993248056,,,,,,,,
