,precision,recall,f1-score,support,FPR,FNR,,,,,,
BENIGN,0.99967376,0.863497599,0.926609233,340668,0.001149921,0.136502401,,,,,,
Bot,0.031574347,0.986348123,0.061189922,293,0.020912615,0.013651877,,,,,,
DDoS,0.901162517,0.997031868,0.946676226,19204,0.005185851,0.002968132,,,,,,
DoS GoldenEye,0.535416667,0.998704663,0.697106691,1544,0.003166055,0.001295337,,,,,,
DoS Hulk,0.725879132,0.998667362,0.840698468,34518,0.033410842,0.001332638,,,,,,
DoS Slowhttptest,0.642014162,0.989090909,0.778625954,825,0.001074819,0.010909091,,,,,,
DoS slowloris,0.633554084,0.989655172,0.772543742,870,0.001176521,0.010344828,,,,,,
FTP-Patator,0.431818182,0.989915966,0.601327208,1190,0.003664632,0.010084034,,,,,,
Heartbleed,0.125,1,0.222222222,2,3.30E-05,0,,,,,,
Infiltration,0.01754386,0.5,0.033898305,6,0.00039609,0.5,,,,,,
PortScan,0.818432766,0.995759866,0.898429954,23820,0.01314409,0.004240134,,,,,,
SSH-Patator,0.074579197,0.976271186,0.138572574,885,0.025329166,0.023728814,,,,,,
Web Attack � Brute Force,0.065857886,0.672566372,0.119968429,226,0.005085793,0.327433628,,,,,,
Web Attack � Sql Injection,0,0,0,3,6.37E-05,1,,,,,,
Web Attack � XSS,0.045994065,0.316326531,0.080310881,98,0.001516316,0.683673469,,,,,,
accuracy,0.889402856,0.889402856,0.889402856,0.889402856,0.889402856,0.889402856,,,,,,
macro avg,0.403233375,0.818255708,0.474545321,424152,0.007899796,0.110597144,,,,,,
weighted avg,0.954681697,0.889402856,0.913701936,424152,0.00471223,0.110597144,,,,,,
0,,,,,,,,,,,,
Test Accuracy,F1 Score,Test Loss,Recall,Precision,AUC,False Positive Rate,False Negative Rate,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.889402856,0.913701936,0.405897321,0.889402856,0.954681697,0.982702096,0.007899796,0.110597144,1853.712919,14555.03125,581.875,7226.417969,116
