### Per-class Metrics,,,,,,,,,,,,
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR,,,,,,
Benign,0.970337804,0.970955347,0.970646477,251406,0.02630679,0.029044653,,,,,,
backdoor,0.92733564,0.987472366,0.956459672,2714,0.000394481,0.012527634,,,,,,
ddos,0,0,0,20,0,1,,,,,,
dos,0,0,0,14,0,1,,,,,,
injection,0.139053254,0.022002161,0.037992787,27770,0.007457288,0.977997839,,,,,,
mitm,0.06043956,0.423076923,0.105769231,52,0.000639244,0.576923077,,,,,,
password,0.225899314,0.851121366,0.357036288,34021,0.198038871,0.148878634,,,,,,
ransomware,0.635294118,0.105882353,0.181512605,510,5.80E-05,0.894117647,,,,,,
scanning,0,0,0,3621,0,1,,,,,,
xss,0.901158024,0.618766023,0.733728725,214931,0.045566149,0.381233977,,,,,,
macro_avg,0.385951771,0.397927654,0.334314579,535059,0.027846082,0.602072346,,,,,,
### Global Metrics,,,,,,,,,,,,
test_accuracy,test_weighted_f1,test_loss,recall,precision,test_auc,global_FPR,global_FNR,time_seconds,CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
0.765184774,0.780517833,0.593527913,0.765184774,0.84481581,95.54306828,0.026090581,0.234815226,3084.687292,"(17830.0234375,)","(747.875,)","(2002.61328125,)","(340.0,)"
